a,b,reltype
Q27952670,Q494144,sibling
Q27953283,Q496491,child
Q27953889,Q402179,father
Q27982975,Q488866,spouse
Q28412571,Q233385,sibling
Q28415860,Q486241,father
Q2856212,Q112027765,child
Q28607727,Q249469,spouse
Q28699036,Q485829,spouse
Q28699529,Q491079,child
Q28700176,Q624394,spouse
Q28700404,Q484400,father
Q290926,Q27824719,child
Q2947463,Q485574,spouse
Q2948453,Q130217472,father
Q296734,Q11499920,child
Q296734,Q15057674,child
Q296734,Q4307061,child
Q296734,Q4307062,child
Q296734,Q486569,child
Q296734,Q497174,spouse
Q296734,Q562683,child
Q302096,Q12597420,father
Q302096,Q494074,father
Q310971,Q133820861,sibling
Q310971,Q346751,father
Q310971,Q79611370,sibling
Q311219,Q5354230,child
Q31176842,Q224639,spouse
Q31178662,Q84040,sibling
Q31178898,Q402179,father
Q31179301,Q625534,child
Q313083,Q262520,spouse
Q313350,Q11287136,spouse
Q313968,Q12613186,spouse
Q3140101,Q624491,grandfather
Q315484,Q109354786,sibling
Q3156766,Q6849027,sibling
Q317824,Q10665,father
Q317824,Q1280778,child
Q317824,Q385795,sibling
Q317824,Q4330912,sibling
Q317824,Q487289,mother
Q317824,Q56226,sibling
Q317824,Q705218,sibling
Q318485,Q464574,spouse
Q3196768,Q6408412,spouse
Q32059867,Q482817,spouse
Q3251327,Q125121411,child
Q332998,Q104542739,spouse
Q332998,Q7385485,sibling
Q333042,Q137299644,father
Q333163,Q12589040,sibling
Q3332980,Q484489,mother
Q334111,Q128454,spouse
Q334111,Q257425,father
Q334111,Q484866,sibling
Q334111,Q487728,sibling
Q334312,Q469387,child
Q334312,Q485587,child
Q334312,Q493659,child
Q334312,Q699503,child
Q334312,Q699513,child
Q334312,Q704568,father
Q334504,Q13580246,spouse
Q3365409,Q236485,spouse
Q3375326,Q486714,sibling
Q3382230,Q14304,sibling
Q3382230,Q16180284,sibling
Q3382230,Q19161949,spouse
Q3382230,Q378483,mother
Q3382230,Q483467,sibling
Q3382230,Q485556,sibling
Q3382230,Q488670,sibling
Q3382230,Q488700,sibling
Q3382230,Q498707,sibling
Q3382230,Q626461,sibling
Q3382230,Q6743293,mother
Q339595,Q51029,child
Q346751,Q133820861,child
Q346751,Q310971,child
Q346751,Q79611370,child
Q347423,Q112023765,child
Q347423,Q117434741,child
Q347423,Q119433166,child
Q347423,Q131763578,spouse
Q3484849,Q13423737,sibling
Q354638,Q486518,spouse
Q3548661,Q213079,spouse
Q3565110,Q12610338,child
Q3565110,Q470047,sibling
Q3565110,Q496634,father
Q3565110,Q623495,child
Q356675,Q56833272,spouse
Q356675,Q56833518,child
Q3571994,Q255420,spouse
Q3572265,Q6514303,father
